140,Sekret (S),Rus,2945.25( 1),na,578,1187,129,2151,0,0,0
141,Barisal (S),Ban,2778.50(11),-59%,1121,257,170,770,20,0,0
142,Perth (S)      Web,Aus,2648.50( 6),106%,466*,785*,1286*,1142*,30*,0,1
143,Phoenix(MA) (S),Mau,2491.00( 1),na,1130,29,19,770,0,0,1*
144,Seberang Jaya (,Mal,2473.20( 6),na,397*,194*,196*,5462*,217*,0,5*
145,Pretoria (MS),SA,2472.50(10),-40%,482,276*,765*,3400,0,0,19*
146,Boise (MS),USA,2453.75( 5),na,1134,34,14,569,25,0,4*
147,N-Tagil (S),Rus,2333.45( 4),-36%,479,209,1595*,1467,22,0,0
148,Zaporozhye (S),Ukr,2297.00(12),20%,828*,34,475,1478*,0,0,0
149,Nellore (M),Ind,2256.50( 9),20%,0,647,340*,5758*,0,0,0
150,Radhadesh (L)  Web,Bel,2139.50( 9),24%,422*,205,341*,3680,0,0,5*
151,Accra (M),Gha,2079.75( 7),60%,44,701,823*,1183,5835*,0,0
152,Zagreb (MS),Cro,2073.50( 1),790%,430,503*,372,2098*,0,0,0
153,Malaysia BBT MO,Mal,2024.20( 9),na,698*,121*,176*,1600*,192,0,7*
154,Belo Horizonte Web,Bra,1930.70( 6),-31%,157,4,15,6066,887*,0,0
155,Ufa (S),Rus,1917.50( 6),12%,519,394*,594*,754,0,0,0
156,Krishna Culture,USA,1862.50(11),-34%,746,75,364*,360,235*,0,18
157,Cape Town (S),SA,1841.30(12),73%,363*,195*,229,3222*,3,0,3
158,Jeleznogorsk (S,Rus,1753.20( 8),-26%,348,537*,610,762,247,0,0
159,Brahmapur (MS),Ind,1722.20( 8),142%,614*,39,219*,1316*,72*,5*,0
160,Ottawa (MS)    Web,Can,1722.00( 2),24%,678*,45*,477*,130*,60,10*,2
161,Jessore (S),Ban,1713.75( 6),na,730*,141*,85*,245*,90,0,0
162,Chattagram-Pund,Ban,1712.25(11),na,711*,140*,123*,347*,20,0,0
163,Alchevsk (S),Ukr,1674.50( 7),120%,425*,72*,390*,2230*,0,0,0
164,Vladimir (S),Rus,1622.70( 4),-54%,563*,148,156,1078,12,0,0
165,Baku (M),Aze,1590.00( 1),261%,370*,420*,0,1720,0,0,0
166,Vologda (MS),Rus,1546.25( 2),-60%,274,558,458*,845*,0,0,0
167,Korsnas Gard (L,Swe,1487.75( 1),na,223,411,200,2123,0,0,0
168,New Vrajadham-B,Bra,1470.50( 1),999%,39*,0,0,5570,0,0,0
169,Sao Paulo (S),Bra,1451.55( 6),-44%,556,22*,65,225,2288*,0,0
170,New Gokula-Aust,Aus,1443.75( 1),na,440,238,432,427,30,0,0
171,Penang (M),Mal,1433.45( 6),-26%,301*,200*,131,2255,22,0,1
172,Tomsk (S),Rus,1395.00( 1),20%,270,0,1240*,940*,0,0,0
173,Rovno (MS),Ukr,1383.50(12),-3%,358,8*,870*,898,0,0,0
174,Magnitogorsk (S,Rus,1327.00( 2),na,298,204,568,944,70,0,0
