179,Alchevsk (S),Ukr,1050.00( 6),-37%,246,122*,632*,480,0,0,0
180,Detroit (S)    Web,USA,1027.50( 1),na,417,66,161,188,0,0,0
181,Noyakhali (S),Ban,990.75( 2),-83%,424,92,62,55,60,0,0
182,Kisumu (S),Ken,984.50( 1),999%,281,130*,150*,870*,0,0,2*
183,Mombasa (S),Ken,977.50( 2),na,9,48,4,3624,35,0,1*
184,Rybinsk (S),Rus,959.85( 5),7%,120,466*,189*,605,81,0,0
185,Tampa Bay (S),USA,957.05( 9),-14%,7,40,339*,1621,3283,0,2
186,Lipezk (S),Rus,945.00( 3),1%,350*,30,105,648*,5,0,0
187,Centro Studi Bh,Ita,945.00( 5),-26%,390,0,330*,0,0,0,0
188,Sarov (MS),Rus,930.25( 2),18%,135,527*,177*,179*,0,0,0
189,Tbilisi (M),Geo,925.00( 1),na,0,925,0,0,0,0,0
190,Kirov (S),Rus,863.95( 3),-18%,283,90,202,425,7,0,0
191,Cape Town (S),SA,849.80(10),-54%,62,74,329*,1946,8*,0,0
192,Bukit-Mertajam,Mal,836.50( 3),-16%,212,25,50*,1450*,0,0,3*
193,Tula (S),Rus,830.00( 3),153%,176*,351*,133*,242*,0,0,0
194,Amsterdam (S),Hol,825.55(11),na,136*,209*,106*,1131*,88,0,2*
195,Tashkent (S),Uzb,810.00( 1),na,0,0,1620,0,0,0,0
196,Brazil BBT (S),Bra,807.20( 3),-85%,285,3*,24,888,2,0,0
197,Rijeka (MS),Cro,764.00( 2),-78%,46,152,630,820,0,0,0
198,Curitiba (MS)  Web,Bra,711.60( 5),na,51*,2,149*,1716*,1041*,0,0
199,Vladimir (S),Rus,701.25( 4),-57%,177,165*,211*,307,0,0,0
200,Smolensk (S),Rus,674.00( 1),149%,298*,53,50,0,0,0,0
201,Pretoria (MS),SA,666.25( 2),-73%,58,61,116,1725,0,0,1
202,Klang (S),Mal,635.50( 4),18%,149*,11,40,1226*,0,0,0
203,Penang (M),Mal,610.50( 5),-57%,134,12,17,1288,0,0,2*
204,Nava-Nrsimha-Ks,Ger,604.00( 5),52%,36,122*,820*,0,0,0,0
205,Karlovac (S),Cro,593.25( 2),na,46*,109,528*,513*,0,0,0
206,Kuantan (S),Mal,566.40( 4),na,221*,56*,2,258*,29*,0,1*
207,Newlands(Wellin,,564.50( 5),na,222,25,46,290,0,0,9*
208,Murmansk (S),Rus,561.00( 1),na,141,219,78,84,0,0,0
209,Phoenix(SA) (S),SA,556.25( 6),-25%,75,101,215*,791*,0,0,2
210,Seremban (S),Mal,555.10( 4),159%,93*,20*,33*,1316*,36,0,0
211,Lima (L)       Web,Per,552.50( 3),-93%,1,0,2,2198,0,0,0
212,Blantyre (MS),Mal,531.20(12),-45%,181,70*,1,386*,22,0,6*
213,Calgary ( )    Web,,523.25( 1),na,0,350,124,45,120,20*,0
214,New Gokula-Braz,Bra,493.50( 5),-38%,88,18,39*,1120,0,0,0
215,Gita-nagari (S),USA,490.00( 6),-42%,0,0,280,1400,0,0,0
216,Berezniki (S),Rus,481.90( 6),na,162*,63*,138*,62,104*,0,0
217,Jessore (S),Ban,475.75( 1),-72%,159,93,17,225,0,0,0
218,Pskov (S),Rus,461.50( 5),na,23*,333*,104*,48*,185,0,0
219,Luzk (S),Ukr,455.75( 5),na,143*,49,194*,95*,0,0,0
220,Barisal (S),Ban,439.75( 2),-84%,183,39,51,37,0,0,0
221,Shanghai (S),Chi,426.00( 1),na,213,0,0,0,0,0,0
222,Balakong (S),Mal,421.00( 1),na,200,5,9,46,0,0,0
223,Voronej (S),Rus,416.25( 3),-68%,121,123,14,173,10,0,0
224,Mafikeng (S),SA,415.25(12),-10%,13*,20,155*,1167,0,0,0
225,Luxembourg NH (,Lux,410.50( 1),na,185,0,0,162,0,0,0
226,Varazdin (S),Cro,396.00( 2),na,30,104,232,464,0,0,0
227,NY Long Island,USA,369.00( 5),na,92,85,71,258,0,0,0
228,Khmelnitsky (MS,Ukr,360.50( 8),-16%,120*,15,207,8,0,0,0
229,Tiraspol (S),Ukr,306.25( 5),-50%,99,0,178,77,0,0,0
230,Baku (M),Aze,304.00( 1),-81%,0,304,0,0,0,0,0
231,Sao Lorenco do,Bra,298.00( 1),na,22,0,143,730,0,0,0
232,Vinniza (MS),Ukr,296.00( 8),-31%,92,0,68*,312*,0,0,0
233,Belgorod (S),Rus,287.50( 2),-57%,76,48,97,156,0,0,0
234,Lugansk (MS),Ukr,285.50( 6),-55%,67,1,298*,6,0,0,0
235,Cologne(GauradeWeb,Ger,282.60( 9),-1%,21,73,321*,0,71*,0,0
