102,Prague (M)     Web,Cze,9387.45(11),-6,2528*,3262,3,3827,1112,0,0
103,Vladivostok (M),Rus,9239.50( 3),-13,2329,2149,2898,3934,0,0,0
104,Yaroslavl (S),Rus,9177.75( 6),4,2661,1113*,2282*,6407*,0,0,0
105,Wellington (S),NZ,8636.15(12),12,1371*,4677*,304,3555*,1764*,0,13
106,Recife (MS)    Web,Bra,8446.70(10),na,282*,2554*,995,19164*,402,0,0
107,Rome (S)       Web,Ita,8272.50(11),49,709,0,13709*,0,0,0,0
108,Odessa (S),Ukr,8216.75( 9),-11,3329,160*,1204*,3187,0,0,0
109,Accra (M),Gha,8210.95( 9),144,1103*,1706*,1037*,15113*,22,0,0
110,Volgograd (S),Rus,8179.25( 2),na,1556,1801,3876,5313,0,0,0
111,Izevsk (S),Rus,7374.50( 4),66,1898*,708*,2705*,5592*,1200*,0,0
112,Chittagong-Prab,Ban,7318.90( 4),-62,2094,655,643,7086,2822,53,0
113,Miami (S)      Web,USA,7268.00(12),65,1735*,492*,375*,6542*,14654*,4,2
114,Herson (S),Ukr,7058.75(10),na,2986*,215*,1099*,1289*,0,0,0
115,New York Harina,USA,7012.00( 7),na,1858,1160,956,6632,0,0,0
116,Villa Vrndavana,Ita,6708.80( 8),-11,1484,0,7424*,0,269*,1,0
117,Berkeley (S)   Web,USA,6607.85(11),109,1185*,1805*,2936*,3669*,476,0,0
118,World Harinama,USA,6418.95( 2),na,1124,1103,1554,9133,77,0,1*
119,Vilnius (S),Lit,6301.25(12),-1,1202,856*,1427*,9311*,0,0,0
120,Bhaktiloka (MS),SVK,6260.75(12),-12,743,3626,0,4595*,0,0,0
121,Sao Paulo (S),Bra,6179.00( 5),181,511*,3226*,808*,6108*,0,0,0
122,Rovno (MS),Ukr,6170.50(11),142,2265*,393*,901,3188*,0,0,0
123,Chelyabinsk (S),Rus,6135.85( 8),-65,1324,542,1524,8475,651*,0,0
124,Kanpur ( ),,6000.00( 1),na,3000,0,0,0,0,0,0
125,Philadelphia (MWeb,USA,5787.40(12),-56,2135,80,538*,3190,2389,30*,15
126,Batticaloa (MS),Sri,5764.75( 8),na,2467*,617*,107,501*,350,0,18*
127,Naperville (MS),USA,5730.70( 1),197,2363*,290*,628*,1338*,442*,5*,59*
128,Kishinev (MS),Ukr,5619.25( 9),6,1808*,775,1353,2207,0,0,0
129,Ufa (S),Rus,5614.25( 4),na,1373*,552,2386*,4493*,0,0,0
130,Tomsk (S),Rus,5589.00( 2),44,1308*,1641*,1606*,2116*,0,0,0
131,New Orleans (S)Web,USA,5436.00(12),-40,2,0,4787,12154,0,0,0
132,Brahmapur (MS),Ind,5399.75( 6),-59,1884,889,429,1873,600*,0,0
133,Malaysia BBT MO,Mal,5146.35(17),na,1534*,288,174,6769,111,0,11*
134,Mar Del Plata (,Arg,4809.65(12),na,250,397,2586,10099*,949,0,0
135,Simferopol (S),Ukr,4313.00(11),-18,1258,930*,978*,1512,0,0,0
136,Vrajabhumi (S),Bra,4295.75( 8),-57,53,1752,472,8807,0,0,0
137,Vancouver (M)  Web,Can,4177.85( 8),9,1323*,237,1527,701,569*,68,1
138,Kisumu (S),Ken,4068.00( 5),-12,1492,438*,306*,1900*,123,3*,0
139,Lima (L)       Web,Per,4018.00( 6),999,111,8,664,13824*,0,0,0
140,New Jersey-TowaWeb,,3817.50(12),-7,1765,0,0,1150*,0,0,15*
141,Montevideo (MS),Uru,3755.40(10),-32,22,15,426*,13900,84,0,0
142,Brisbane (S),Aus,3735.20(12),-67,624,534*,2662,1228*,3152*,0,9
143,Spain BBT (MS),Spa,3678.50(10),na,708,599,464,5726,0,0,0
144,Ljubljana (S),Slo,3578.00(11),-9,353*,590,2755,3618*,0,0,0
145,Kirov (S),Rus,3471.50( 8),77,1084*,86,2265*,340,0,0,0
146,Malaysia TSKP (,Mal,3468.95(16),na,764*,213,269,6291,207,0,7*
147,Secunderabad (S,Ind,3418.50( 1),na,1675,46,21,48,0,0,41*
148,New York Queens,USA,3398.70( 5),310,1277*,119,176,2338*,532,0,0
