114	Kishinev 	5313.5	-29	1089	1112	2113	3868	0	0	0	47.0104529	28.8638103	1/1/2013
115	Simferopol 	5286	-43	1947	349	886	2400	0	0	0	44.952117	34.102417	1/1/2013
116	Vellore 	5131	-45	1554	158	0	1730	5794	449	18	12.9165167	79.1324986	1/1/2013
117	Bhakti Sangam F	5019.75	29	2025	288	870	987	0	0	0	17.693211	74.036745	1/1/2013
118	Ufa 	4917.75	0	1222	736	1703	3545	0	0	0	54.7387621	55.9720554	1/1/2013
119	Franco da Rocha	4630.35	-57	156	1776	313	9541	6	0	0	-23.3233727	-46.7294577	1/1/2013
120	Kisumu 	4620.75	116	2101	179	77	805	0	0	2	-0.0917016	34.7679568	1/1/2013
121	Arusha 	4477.75	0	119	192	266	15659	0	0	0	-3.372301	36.6944136	1/1/2013
122	Bon Accueil 	4459.25	-1	1088	19	273	8511	0	0	0	47.6239247	-1.8319403	1/1/2013
123	Itajai 	4449.8	-11	305	625	564	11710	53	0	0	-26.9105964	-48.6709514	1/1/2013
124	Izevsk 	4442.35	19	1509	547	914	1617	161	0	0	56.8618601	53.2324285	1/1/2013
125	Gainesville 	4432	0	966	522	1824	4260	10	0	0	29.6516344	-82.3248262	1/1/2013
126	Miami 	4396.75	30	722	326	262	5423	11224	4	3	25.7616798	-80.1917902	1/1/2013
127	BTG/Krishna.com	4295	-37	0	0	0	0	5154	859	0	null	null	1/1/2013
128	Tyumen 	4233.75	55	1209	822	1651	673	0	0	0	57.1612975	65.5250172	1/1/2013
129	Perth 	4123	216	564	2034	588	2668	0	0	0	-31.9535132	115.8570471	1/1/2013
130	New Jersey-TowaWeb	4083.5	212	1918	0	190	504	265	0	0	40.0583238	-74.4056612	1/1/2013
131	Madrid 	4030.25	66	518	2853	7	551	0	0	0	40.4167754	-3.7037902	1/1/2013
132	Pandharpur 	3998.75	-97	1722	58	0	1987	0	0	0	17.6745535	75.3237262	1/1/2013
133	Ljubljana 	3935	-15	295	1013	2917	3494	0	0	0	46.0569465	14.5057515	1/1/2013
134	Tomsk 	3873.25	0	816	1091	1253	2095	0	0	0	56.5010397	84.9924506	1/1/2013
135	Guadalajara 	3871.75	0	167	220	2188	8895	0	0	0	20.6596988	-103.3496092	1/1/2013
136	Vancouver 	3846.9	-11	958	312	1876	1028	895	76	2	45.6387281	-122.6614861	1/1/2013
137	Nellore 	3813.25	-1	470	726	456	7677	0	0	0	14.4425987	79.986456	1/1/2013
138	Munich 	3787.5	96	1366	194	1723	0	0	0	0	48.1351253	11.5819806	1/1/2013
139	Columbus 	3626	0	1082	572	1187	1146	100	0	0	39.9611755	-82.9987942	1/1/2013
140	Gurabo 	3479.25	0	349	1767	1146	1765	0	0	2	18.2543987	-65.9729421	1/1/2013
141	Lenasia 	3413.55	10	767	178	674	5455	8	0	15	-26.3335179	27.8663075	1/1/2013
142	Accra 	3363	138	898	888	847	1022	0	0	0	5.6037168	-0.1869644	1/1/2013
143	Belo Horizonte Web	3167.85	-60	164	532	380	8471	1	0	0	-19.9052969	-43.9635593	1/1/2013
144	Berkeley 	3159.45	-41	613	351	1519	2713	1076	9	3	37.8715926	-122.272747	1/1/2013
145	Severodvinsk 	3095	0	788	832	822	1104	0	0	0	64.5661757	39.8505981	1/1/2013
146	Bhaktiloka 	2728.25	0	306	1758	0	1433	0	0	0	3.589085	98.680571	1/1/2013
147	New Govardhana	2578	0	798	234	846	1300	0	0	0	28.5490104	77.2515992	1/1/2013
148	Rovno 	2551.75	92	720	111	1262	1479	0	0	0	50.6199	26.251617	1/1/2013
149	New Jersey-Edis	2540.25	-86	1237	0	66	113	6	1	13	40.0583238	-74.4056612	1/1/2013
150	Rio de Janeiro	2452.5	146	136	365	236	6790	0	0	0	-22.9068467	-43.1728965	1/1/2013
151	Ann Harbor 	2433.8	0	745	208	38	1994	2183	0	3	42.2808256	-83.7430378	1/1/2013
152	Sarov 	2419.75	24	542	970	386	691	0	0	0	54.9342792	43.3252503	1/1/2013
153	Joao Pessoa 	2305.15	0	58	574	481	5425	184	0	0	-7.1194958	-34.8450118	1/1/2013
154	New Vrindavan 	2289	-68	703	269	904	648	0	0	4	39.9667283	-80.6067728	1/1/2013
155	Helsinki 	2283.2	-19	409	1394	58	18	377	0	0	60.1733244	24.9410248	1/1/2013
156	Sao Paulo 	2195.75	0	87	1118	194	3227	0	0	0	-23.5505199	-46.6333094	1/1/2013
157	Bogota 	2194.25	0	5	0	0	8737	0	0	0	4.7109886	-74.072092	1/1/2013
158	Porto Alegre 	2181.25	548	48	1083	22	3965	0	0	0	-30.0346471	-51.2176584	1/1/2013
159	Kinshasa 	2159	-20	672	240	140	820	3000	0	0	-4.4419311	15.2662931	1/1/2013
160	Houston 	2062.5	-30	792	233	147	680	20	0	6	29.7604267	-95.3698028	1/1/2013
161	Terni 	2054.5	-82	950	0	309	0	0	0	0	42.5636168	12.6426604	1/1/2013
162	Kirov 	1957	56	606	208	834	480	0	0	0	58.6035321	49.6667983	1/1/2013
163	Naperville 	1930.45	0	654	140	524	821	152	0	5	41.7508391	-88.1535352	1/1/2013
164	Manila 	1818.55	0	152	703	155	1107	4573	0	0	14.5995124	120.9842195	1/1/2013
165	Cologne	1779	0	621	219	636	0	0	0	0	50.937531	6.9602786	1/1/2013
166	N-Tagil 	1755	0	249	133	1145	2206	0	0	0	57.9371145	59.9600363	1/1/2013
167	Cintamani Dhama	1732	-77	484	619	200	180	0	0	3	null	null	1/1/2013
168	Magnitogorsk 	1712.75	108	461	456	387	565	0	0	0	53.4129429	59.0016233	1/1/2013
169	Blagovestensk 	1682.5	0	433	413	376	862	0	0	0	50.2727763	127.5404017	1/1/2013
170	Malaysia TSKP 	1661.5	-57	100	0	2923	0	0	0	5	4.210484	101.975766	1/1/2013
171	Krishna Culture	1623.55	-11	551	91	571	341	158	10	14	36.66325	-4.507273	1/1/2013
172	Batticaloa 	1532.25	-73	599	258	0	305	0	0	4	7.7309971	81.6747295	1/1/2013
173	Vologda 	1523.75	0	339	381	595	669	0	0	0	59.2180665	39.8978052	1/1/2013
174	Gaborone 	1518	0	430	280	230	904	370	0	0	-24.6282079	25.9231471	1/1/2013
175	Guyana BTG Team	1500	0	0	0	0	0	3600	600	0	null	null	1/1/2013
176	German Congrega	1495.5	-30	401	423	541	0	0	0	0	null	null	1/1/2013
177	Bologna 	1477	-59	531	0	830	0	0	0	0	44.494887	11.3426163	1/1/2013
178	Zurich 	1399	29	364	468	397	18	0	0	4	47.3686498	8.5391825	1/1/2013
179	Tiraspol 	1348	-14	368	50	468	1312	0	0	0	46.848185	29.596805	1/1/2013
180	Lagos 	1324	0	259	482	431	432	5	0	0	6.5243793	3.3792057	1/1/2013
181	Tucson 	1320.15	0	178	163	556	1899	484	0	0	32.2217429	-110.926479	1/1/2013
182	Peru TSKP 	1317.25	0	61	1	146	4485	0	0	0	null	null	1/1/2013
183	Malaysia BBT MO	1307.5	-86	180	0	1895	0	0	0	9	4.210484	101.975766	1/1/2013
184	Vorkuta 	1279	0	305	304	409	642	0	0	0	67.4968967	64.0602175	1/1/2013
185	Zelenogorsk 	1240.75	0	411	147	258	491	200	0	0	60.1967148	29.7006915	1/1/2013
186	Miraflores 	1144	0	21	0	127	4154	0	0	0	-12.111062	-77.0315913	1/1/2013
187	Seremban 	1143.5	21	20	0	2207	0	0	0	1	2.725889	101.9378239	1/1/2013
188	Cochabamba 	1122.25	0	40	12	53	4015	0	0	0	-17.4139766	-66.1653224	1/1/2013
189	Leipzig 	1115	-95	371	227	292	0	0	0	0	51.3396955	12.3730747	1/1/2013
190	Zagreb 	1069	132	69	183	980	1032	0	0	0	45.8150108	15.981919	1/1/2013
191	Kovrov 	1057.25	16	339	325	74	69	0	0	0	56.356769	41.3226311	1/1/2013
192	Herson 	1056	-90	432	40	129	350	0	0	0	46.635417	32.616867	1/1/2013
193	Oktyabrsky 	1038.8	0	376	157	175	154	38	0	0	54.4772015	53.4895394	1/1/2013
194	Bandar Putra 	1013.5	64	0	0	2027	0	0	0	0	1.650487	103.627669	1/1/2013
195	Hyderabad 	976.5	-95	276	58	90	886	1000	0	0	17.385044	78.486671	1/1/2013
196	Kurgan 	847	57	284	41	215	522	0	0	0	55.4649113	65.3053512	1/1/2013
197	Centro Studi Bh	836	-66	388	0	120	0	0	0	0	-23.3571189	-51.1397419	1/1/2013
198	New York Queens	828.75	-45	256	120	206	375	0	0	0	40.7282239	-73.7948516	1/1/2013
199	Blantyre 	785.5	-22	260	42	1	892	0	0	0	-15.7666707	35.0167866	1/1/2013
200	Phoenix	778.5	0	220	9	90	1138	0	0	4	33.4483771	-112.0740373	1/1/2013
201	Skudai 	746	-37	100	0	1092	0	0	0	5	1.537909	103.6622279	1/1/2013
202	Cape Town 	733	86	56	48	2	2288	0	0	0	-33.9248685	18.4240553	1/1/2013
203	Seminario Hare	700	0	0	0	0	2800	0	0	0	null	null	1/1/2013
204	East London	694.25	0	101	180	291	667	0	0	0	51.5073509	-0.1277583	1/1/2013
205	Gelugor 	674.5	0	40	0	1189	0	0	0	2	5.369118	100.3096991	1/1/2013
206	Lvov 	673.25	-53	215	10	267	399	0	0	0	49.839683	24.029717	1/1/2013
207	Klang 	672	123	0	0	1344	0	0	0	0	3.044917	101.4455621	1/1/2013
208	Pskov 	662.75	128	16	595	68	1	15	0	0	57.8166994	28.3344734	1/1/2013
209	Jeleznogorsk 	657.3	-75	110	185	220	510	148	0	0	52.3332892	35.3669551	1/1/2013
